message_id,ticket_id,author_type,author_id,created_at,visibility,message_type,body,sentiment,contains_action_item
msg_001,tkt_001,customer,cust_001,2026-05-01T09:16:00Z,public,question,The nightly batch job now receives 504 errors after five minutes,urgent,true
msg_002,tkt_001,support,support_001,2026-05-01T09:24:00Z,public,reply,We are checking gateway latency and will update before the SLA window,urgent,true
msg_003,tkt_001,engineering,eng_api,2026-05-01T10:05:00Z,internal,note,Gateway shard east shows queue saturation during batch sync,urgent,true
msg_004,tkt_002,customer,cust_002,2026-05-02T08:21:00Z,public,question,Users are redirected back to the sign in page after SSO,frustrated,true
msg_005,tkt_002,support,support_002,2026-05-02T08:45:00Z,public,reply,Please send the new IdP metadata fingerprint from your admin console,neutral,true
msg_006,tkt_002,support,support_002,2026-05-02T10:50:00Z,internal,note,Metadata cache may not have refreshed for the tenant,neutral,true
msg_007,tkt_003,customer,cust_003,2026-05-02T11:05:00Z,public,question,The renewal invoice appears to charge ten duplicate seats,neutral,true
msg_008,tkt_003,support,support_003,2026-05-02T11:42:00Z,public,reply,We are reviewing the renewal ledger and will confirm refund eligibility,neutral,true
msg_009,tkt_003,customer,cust_003,2026-05-02T12:20:00Z,public,reply,Finance can provide the original purchase order if needed,neutral,true
msg_010,tkt_004,customer,cust_004,2026-05-03T07:32:00Z,public,question,Updated contacts no longer appear in our CRM integration,frustrated,true
msg_011,tkt_004,support,support_004,2026-05-03T07:58:00Z,public,reply,We are checking sync logs for contact update events,neutral,true
msg_012,tkt_004,engineering,eng_integrations,2026-05-03T09:30:00Z,internal,handoff,Sync worker skipped records with blank external IDs,neutral,true
msg_013,tkt_005,customer,cust_005,2026-05-03T14:12:00Z,public,question,Large exports stop near 80 percent and never finish,frustrated,true
msg_014,tkt_005,support,support_005,2026-05-03T14:40:00Z,public,reply,We are testing the export with the same filters in a safe tenant copy,neutral,true
msg_015,tkt_005,engineering,eng_data,2026-05-03T16:10:00Z,internal,note,Export worker memory pressure appears after six million rows,neutral,true
msg_016,tkt_006,customer,cust_006,2026-05-04T09:41:00Z,public,question,New admins cannot complete MFA enrollment after promotion,frustrated,true
msg_017,tkt_006,support,support_002,2026-05-04T10:05:00Z,public,reply,We refreshed the admin policy and asked the user to retry enrollment,neutral,true
msg_018,tkt_006,system,system,2026-05-04T15:00:00Z,public,status_change,Ticket moved to resolved after successful enrollment,positive,false
msg_019,tkt_007,customer,cust_007,2026-05-04T13:08:00Z,public,question,Our clients get 429 responses below the agreed quota,neutral,true
msg_020,tkt_007,support,support_001,2026-05-04T13:35:00Z,public,reply,We found burst tokens resetting slowly and applied a quota refresh,neutral,true
msg_021,tkt_007,customer,cust_007,2026-05-05T09:00:00Z,public,reply,The API client has run without 429 responses for two hours,positive,false
msg_022,tkt_008,customer,cust_008,2026-05-05T10:02:00Z,public,question,Can the canceled pilot invoice be refunded,neutral,true
msg_023,tkt_008,support,support_003,2026-05-05T10:30:00Z,public,reply,The refund policy allows pilot refunds before production activation,neutral,true
msg_024,tkt_008,system,system,2026-05-05T12:00:00Z,public,status_change,Ticket closed after refund guidance was accepted,positive,false
msg_025,tkt_009,customer,cust_009,2026-05-05T15:17:00Z,public,question,The billing owner cannot access invoices after a permission update,urgent,true
msg_026,tkt_009,support,support_002,2026-05-05T15:50:00Z,public,reply,We are validating the billing owner role and portal permissions,neutral,true
