resolution_id,ticket_id,resolved_at,resolution_type,summary,root_cause,linked_policy_id,linked_issue_id,customer_visible_response,preventive_action
res_001,tkt_006,2026-05-04T15:20:00Z,configuration_change,MFA enrollment succeeded after policy refresh,Device trust rule blocked admin enrollment,pol_security_escalation,gh_006,We refreshed the MFA policy and confirmed enrollment works,Review MFA rules after admin role changes
res_002,tkt_007,2026-05-05T09:10:00Z,configuration_change,Burst quota refreshed and 429 responses stopped,Quota cache reset slowly after traffic spike,pol_sla,gh_007,We refreshed quota state and confirmed calls are stable,Monitor burst quota metrics after large traffic events
res_003,tkt_008,2026-05-05T12:05:00Z,answered,Refund policy explained for canceled pilot,Customer canceled before production activation,pol_refund,,The pilot invoice is eligible for refund under policy,Attach refund criteria to pilot cancellation workflow
res_004,tkt_009,2026-05-06T08:35:00Z,configuration_change,Billing owner access restored after role propagation fix,Permission migration did not update portal role cache,pol_access,gh_009,We restored billing owner access and verified invoice visibility,Add role propagation check to access migration runbook
res_005,tkt_010,2026-05-06T09:00:00Z,answered,Data retention window explained for archived exports,Customer needed policy clarification,pol_data_retention,,Archived exports follow the documented retention window,Include retention summary in export settings UI
res_006,tkt_011,2026-05-07T11:10:00Z,bug_fix,Salesforce token alert restored for legacy OAuth apps,Alert job skipped legacy OAuth tenant records,pol_access,gh_011,We restored the token and fixed missing expiry alerts,Add coverage for legacy OAuth alert paths
res_007,tkt_012,2026-05-07T17:30:00Z,workaround,Notification worker pool scaled during webhook delay,Worker backlog delayed callback delivery,pol_incident_response,gh_012,We drained the webhook backlog and callbacks are current,Autoscale notification workers on queue age
res_008,tkt_013,2026-05-08T10:15:00Z,configuration_change,SCIM group mapping corrected for role assignment,Mapping rule targeted old role identifier,pol_access,gh_013,We updated the group mapping and confirmed role assignment,Validate role mapping after SCIM rule edits
res_009,tkt_014,2026-05-08T12:55:00Z,answered,Credit memo approval status shared with finance,Customer could not find approval state,pol_refund,,The credit memo was approved and the reference was shared,Expose credit memo status in billing portal
res_010,tkt_015,2026-05-09T09:20:00Z,bug_fix,LATAM cache warmup restored after deploy,Deploy disabled regional cache warmup,pol_api_timeout,gh_015,We restored cache warmup and latency returned to baseline,Add deploy guard for regional cache warmup
res_011,tkt_016,2026-05-09T16:40:00Z,configuration_change,Sandbox OAuth callback allowlist corrected,Sandbox app referenced production callback allowlist,pol_access,gh_016,We corrected the callback configuration and authorization works,Separate sandbox and production callback templates
res_012,tkt_017,2026-05-10T08:45:00Z,configuration_change,Custom field schema flag enabled for exports,Export job omitted tenant custom field schema,pol_data_retention,gh_017,We enabled the schema flag and regenerated the export,Add schema flag check to export validation
res_013,tkt_018,2026-05-10T11:10:00Z,configuration_change,Secure MFA reset completed for verified admin,Admin lost primary MFA device,pol_security_escalation,,We completed a verified MFA reset for the admin,Document lost device reset steps for admins
res_014,tkt_020,2026-05-11T12:00:00Z,bug_fix,ERP connector preserved idempotency keys during retry,Retry flow regenerated order idempotency keys,pol_incident_response,gh_020,We fixed duplicate order retries and confirmed stable sync,Add duplicate order tests to connector retries
res_015,tkt_021,2026-05-11T12:10:00Z,answered,Weekly export schedule steps provided,Customer needed automation guidance,pol_data_retention,,Weekly exports can be configured from export settings,Add audit export example to docs
res_016,tkt_022,2026-05-12T14:35:00Z,answered,Tax exemption upload path provided,Customer needed certificate submission steps,pol_refund,,Upload the certificate in billing settings for review,Add tax exemption link to invoice emails
res_017,tkt_023,2026-05-13T08:00:00Z,configuration_change,Deploy environment key alias updated,Deployment pipeline used retired API key alias,pol_security_escalation,gh_023,We updated the key alias and deploys now pass,Add key rotation checklist to API docs
res_018,tkt_024,2026-05-13T13:15:00Z,workaround,Edge stale session fixed with cookie reset,Browser retained stale session cookie,pol_login_troubleshooting,gh_024,Clear the Edge session cookie and sign in again,Add browser cache step to login troubleshooting
res_019,tkt_025,2026-05-14T09:30:00Z,configuration_change,Slack channel mapping cache refreshed,Integration cache retained default channel mapping,pol_access,gh_025,We refreshed the mapping and alerts now reach the selected channel,Invalidate mapping cache after channel updates
res_020,tkt_003,2026-05-03T10:30:00Z,answered,Duplicate seat charge refund initiated,Renewal ledger counted inactive seats,pol_refund,gh_003,We initiated a refund for duplicate seat charges,Audit inactive seats before renewal invoice generation
