risk_event_id,account_id,customer_id,ticket_id,product_id,service_id,event_type,severity,risk_score,detected_at,source,summary,evidence_refs,recommended_action,status
risk_001,acct_001,cust_001,tkt_001,prod_api,svc_api_gateway,sla_breach,critical,94,2026-05-01T13:20:00Z,support,P1 API timeout breached resolution target,tkt_001|gh_001|pol_sla,Escalate to incident commander and account owner,open
risk_002,acct_002,cust_002,tkt_002,prod_identity,svc_auth,sentiment_drop,high,78,2026-05-02T10:55:00Z,support,Frustrated SSO login case is approaching SLA risk,tkt_002|gh_002|pol_access,Keep customer updated every hour,acknowledged
risk_003,acct_003,cust_003,tkt_003,prod_billing,svc_billing,churn_risk,medium,61,2026-05-02T13:15:00Z,crm,Duplicate renewal charge impacts executive sponsor trust,tkt_003|gh_003|pol_refund,Confirm refund timeline with finance,acknowledged
risk_004,acct_004,cust_004,tkt_004,prod_integrations,svc_integration_sync,usage_anomaly,high,72,2026-05-03T09:50:00Z,engineering,CRM sync skipped updated contacts for APAC account,tkt_004|gh_004,Assign integration owner and monitor next sync,open
risk_005,acct_005,cust_005,tkt_005,prod_data_export,svc_data_export,usage_anomaly,high,75,2026-05-03T16:30:00Z,system,Large export job repeatedly stops before completion,tkt_005|gh_005|pol_data_retention,Escalate export worker memory review,open
risk_006,acct_006,cust_006,tkt_006,prod_identity,svc_mfa,security,medium,58,2026-05-04T10:30:00Z,support,MFA enrollment failed for newly promoted admins,tkt_006|gh_006|pol_security_escalation,Confirm admin verification before reset,closed
risk_007,acct_007,cust_007,tkt_007,prod_api,svc_api_gateway,usage_anomaly,medium,52,2026-05-04T14:00:00Z,system,API rate limit triggered below contracted burst quota,tkt_007|gh_007,Monitor quota cache for recurrence,closed
risk_008,acct_008,cust_008,tkt_008,prod_billing,svc_billing,churn_risk,low,35,2026-05-05T11:00:00Z,crm,Canceled pilot refund question may affect trial conversion,tkt_008|pol_refund,Provide clear refund answer and next step,closed
risk_009,acct_009,cust_009,tkt_009,prod_identity,svc_web_portal,sla_breach,high,82,2026-05-06T03:20:00Z,support,Portal access issue breached SLA for strategic financial account,tkt_009|gh_009|pol_access,Notify account owner and confirm restoration,closed
risk_010,acct_010,cust_010,tkt_010,prod_data_export,svc_data_export,churn_risk,low,22,2026-05-06T08:30:00Z,support,Retention question indicates audit preparation need,tkt_010|pol_data_retention,Send policy citation and audit export guidance,closed
risk_011,acct_001,cust_001,tkt_011,prod_integrations,svc_integration_sync,sla_breach,high,81,2026-05-06T22:30:00Z,support,Salesforce token alert issue breached resolution target,tkt_011|gh_011,Review alert coverage for legacy OAuth apps,closed
risk_012,acct_002,cust_002,tkt_012,prod_api,svc_notification,incident,medium,66,2026-05-07T08:45:00Z,engineering,Webhook callback delay impacted customer workflows,tkt_012|gh_012|pol_incident_response,Share incident summary after backlog clears,closed
risk_013,acct_003,cust_003,tkt_013,prod_identity,svc_auth,usage_anomaly,medium,49,2026-05-07T15:40:00Z,support,SCIM role mapping failed after group sync,tkt_013|gh_013,Validate mapping with test user before closure,closed
risk_014,acct_004,cust_004,tkt_014,prod_billing,svc_billing,churn_risk,low,28,2026-05-08T09:00:00Z,crm,Credit memo visibility caused finance uncertainty,tkt_014|gh_014,Share approved memo reference with finance contact,closed
risk_015,acct_005,cust_005,tkt_015,prod_api,svc_api_gateway,sla_breach,high,80,2026-05-09T01:50:00Z,support,LATAM API latency case missed resolution target,tkt_015|gh_015|pol_api_timeout,Send latency remediation summary to customer,closed
risk_016,acct_006,cust_006,tkt_016,prod_integrations,svc_integration_sync,usage_anomaly,low,41,2026-05-09T11:00:00Z,support,Sandbox OAuth callback mismatch blocked integration testing,tkt_016|gh_016,Add callback validation to onboarding checklist,closed
risk_017,acct_007,cust_007,tkt_017,prod_data_export,svc_data_export,usage_anomaly,medium,55,2026-05-09T12:45:00Z,system,Scheduled export omitted custom fields,tkt_017|gh_017,Monitor next scheduled export,closed
risk_018,acct_008,cust_008,tkt_018,prod_identity,svc_mfa,security,medium,59,2026-05-10T10:40:00Z,support,Lost device MFA reset required secure verification,tkt_018|pol_security_escalation,Confirm reset audit record,closed
risk_019,acct_009,cust_009,tkt_019,prod_api,svc_api_gateway,incident,critical,98,2026-05-10T16:05:00Z,support,Strategic customer reported production API outage,tkt_019|gh_019|pol_incident_response,Keep incident bridge active until payment route recovers,open
risk_020,acct_010,cust_010,tkt_020,prod_integrations,svc_integration_sync,incident,medium,67,2026-05-11T07:30:00Z,engineering,ERP connector retried duplicate order creation,tkt_020|gh_020,Verify idempotency keys across connector retries,closed
risk_021,acct_001,cust_001,tkt_021,prod_data_export,svc_data_export,churn_risk,medium,50,2026-05-11T11:30:00Z,crm,Audit export request follows recent API incident,tkt_001|tkt_021,Offer proactive audit readiness review,closed
risk_022,acct_002,cust_002,tkt_022,prod_billing,svc_billing,churn_risk,low,25,2026-05-12T10:30:00Z,support,Tax exemption question is routine renewal support,tkt_022|pol_refund,Send upload instructions and confirm receipt,closed
risk_023,acct_003,cust_003,tkt_023,prod_api,svc_api_gateway,security,high,73,2026-05-12T14:30:00Z,support,API key rotation broke deployment pipeline,tkt_023|gh_023|pol_security_escalation,Confirm old key is retired after deploy fix,closed
risk_024,acct_004,cust_004,tkt_024,prod_identity,svc_auth,usage_anomaly,low,32,2026-05-13T10:00:00Z,support,Browser specific stale session affected login,tkt_024|gh_024|pol_login_troubleshooting,Add browser cache step to customer reply,closed
risk_025,acct_005,cust_005,tkt_025,prod_integrations,svc_integration_sync,usage_anomaly,medium,48,2026-05-13T13:10:00Z,support,Slack integration mapping sent alerts to default channel,tkt_025|gh_025,Confirm test alert reaches mapped channel,closed
risk_026,acct_006,cust_006,tkt_026,prod_api,svc_api_gateway,sla_breach,high,77,2026-05-14T10:20:00Z,support,SLA credit question tied to latency breach,tkt_026|gh_026|pol_sla,Review credit eligibility before response,open
risk_027,acct_007,cust_007,tkt_027,prod_data_export,svc_data_export,sla_breach,high,84,2026-05-15T02:30:00Z,support,Partial export API issue breached resolution target,tkt_027|gh_027,Escalate data platform fix and send workaround,open
risk_028,acct_008,cust_008,tkt_028,prod_identity,svc_web_portal,usage_anomaly,low,39,2026-05-15T11:00:00Z,support,New admin invite permission flag may be missing,tkt_028|gh_028,Check role permission flag before escalation,open
risk_029,acct_009,cust_009,tkt_029,prod_integrations,svc_integration_sync,incident,critical,96,2026-05-15T16:45:00Z,support,Payment integration disconnects repeatedly for strategic account,tkt_029|gh_029|pol_incident_response,Escalate to incident bridge and executive sponsor,open
risk_030,acct_010,cust_010,tkt_030,prod_billing,svc_billing,churn_risk,low,24,2026-05-16T08:30:00Z,support,Billing contact update is routine renewal support,tkt_030|gh_030,Wait for customer confirmation of current owner,acknowledged
risk_031,acct_001,cust_001,tkt_001,prod_api,svc_api_gateway,sentiment_drop,critical,90,2026-05-01T12:45:00Z,manual_review,Enterprise admin requested frequent updates after API timeout,tkt_001|risk_001,Set hourly executive update cadence,open
